GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
63	rs112635299	14	94844947	rs28929474	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Fat-free mass	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	14q32.13	NR	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-?	rs28929474	0	28929474	missense_variant	0	NR	2E-6	5.698970004336019	(male)	0.58858	[0.34-0.83] unit increase	Affymetrix [7794483] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-02-08	30593698	Hubel C	2018-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30593698	Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.	Fat-free mass	70,700 European ancestry female individuals, 85,261 European ancestry male individuals	NA	14q32.13	NR	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-?	rs28929474	0	28929474	missense_variant	0	NR	6E-9	8.221848749616356		0.4568	[0.3-0.61] unit increase	Affymetrix [7794483] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	14q32.13		SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-?	rs28929474	0	28929474	missense_variant	0	NR	4E-9	8.397940008672037				NR [~ 8900000] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Systolic blood pressure	approximately 422,000 European ancestry individuals	NA	14q32.13		SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-?	rs28929474	0	28929474	missense_variant	0	NR	3E-8	7.522878745280337				NR [~ 8900000] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-02-21	30504769	Ferkingstad E	2018-11-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30504769	Genome-wide association meta-analysis yields 20 loci associated with gallstone disease.	Gallstone disease	27,174 European ancestry cases, 736,838 European ancestry controls	NA	14q32.13	SERPINA1	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-?	rs28929474	0	28929474	missense_variant	0		2E-17	16.69897000433602		1.33	[1.25-1.42]	Affymetrix, Illumina [43000000] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Alcohol consumption (drinks per week)	414,343 European ancestry individuals	NA	14q32.13	SERPINA1	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-T	rs28929474	0	28929474	missense_variant	0	0.0201	7E-10	9.154901959985743		0.048947606	[0.033-0.065] unit decrease	Affymetrix [11514936] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week)	up to 941,280 European ancestry individuals	NA	14q32.13	NR	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-T	rs28929474	0	28929474	missense_variant	0	0.0183	1E-11	11.0		0.036799625	[0.026-0.047] unit decrease	NR [~ 10000000] (imputed)	N
63	rs112635299	14	94844947	rs28929474	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week) (MTAG)	up to 1,039,210 European ancestry individuals	NA	14q32.13	NR	SERPINA1, SERPINA1			ENSG00000197249, ENSG00000277377			rs28929474-T	rs28929474	0	28929474	missense_variant	0	0.0183	7E-13	12.154901959985743		0.0353946	[0.026-0.045] unit decrease	NR [~ 9732723] (imputed)	N
66	rs12449792	17	43292035	rs55706568	2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Thyroid stimulating hormone levels	54,288 European ancestry individuals	up to 22,383 European ancestry individuals	17q21.31	FMNL1	AC008105.3			ENSG00000267121			rs55706568-C	rs55706568	0	55706568	intron_variant	0	0.55	3E-7	6.522878745280337		0.038	unit decrease (discovery)	Affymetrix, Illumina [8048941] (imputed)	N
66	rs12449792	17	43302259	rs12449792	2019-01-14	30367059	Teumer A	2018-10-26	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30367059	Genome-wide analyses identify a role for SLC17A4 and AADAT in thyroid hormone regulation.	Hypothyroidism	3,340 European ancestry cases, 49,983 European ancestry controls	NA	17q21.31	FMNL1	FMNL1			ENSG00000184922			rs12449792-T	rs12449792	0	12449792	intron_variant	0	0.46	2E-8	7.698970004336019		0.157	[0.1-0.21] unit increase	Affymetrix, Illumina [5965951] (imputed)	N
66	rs142920272	17	43474668	rs62064598	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	17q21.31	ENSG00000267344	AC003070.1, ARHGAP27, ARHGAP27, ARHGAP27			ENSG00000267344, ENSG00000276836, ENSG00000276907, ENSG00000159314			rs62064598-C	rs62064598	0	62064598	intron_variant	0	NR	3E-15	14.522878745280337		0.013541	[0.01-0.017] unit increase	Affymetrix [18485882] (imputed)	N
66	rs142920272	17	43488792	rs62064641	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Worry	348,219 European ancestry individuals	NA	17q21.31	NR	ARHGAP27, ARHGAP27, ARHGAP27			ENSG00000276836, ENSG00000276907, ENSG00000159314			rs62064641-C	rs62064641	0	62064641	intron_variant	0	NR	2E-11	10.698970004336019		0.02055	[0.015-0.027] unit increase	Affymetrix [10847151] (imputed)	N
66	rs142920272	17	43488792	rs62064641	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	White blood cell count	approximately 444,000 European ancestry individuals	NA	17q21.31		ARHGAP27, ARHGAP27, ARHGAP27			ENSG00000276836, ENSG00000276907, ENSG00000159314			rs62064641-?	rs62064641	0	62064641	intron_variant	0	NR	1E-13	13.0				NR [~ 8900000] (imputed)	N
66	rs142920272	17	43513441	rs11012	2010-02-05	20070850	Edwards TL	2010-01-13	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20070850	Genome-wide association study confirms SNPs in SNCA and the MAPT region as common risk factors for Parkinson disease.	Parkinson's disease	1,752 European ancestry cases, 1,745 European ancestry controls	NA	17q21.31	MAPT, PLEKHM1, IMP5	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs11012-T	rs11012	0	11012	3_prime_UTR_variant	0	NR	6E-8	7.221848749616356		1.43	[1.27-1.61]	Illumina [495715] (imputed)	N
66	rs142920272	17	43516402	rs17631303	2013-08-02	23544013	Couch FJ	2013-03-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23544013	Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	Ovarian cancer in BRCA1 mutation carriers	683 European ancestry cases, 2,044 European ancestry controls	1,706 European ancestry cases, 10,258 European ancestry controls	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs17631303-?	rs17631303	0	17631303	intron_variant	0	NR	1E-8	8.0				Illumina [2568349] (imputed)	N
66	rs142920272	17	43516402	rs17631303	2013-08-02	23544013	Couch FJ	2013-03-27	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23544013	Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	Ovarian cancer in BRCA1 mutation carriers	683 European ancestry cases, 2,044 European ancestry controls	1,706 European ancestry cases, 10,258 European ancestry controls	17q21.31	intergenic	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs17631303-G	rs17631303	0	17631303	intron_variant	0	0.19	1E-8	8.0		1.27	[1.17-1.38]	Illumina [2568349] (imputed)	N
66	rs142920272	17	43555253	rs56192752	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	17q21.31		PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs56192752-A	rs56192752	0	56192752	3_prime_UTR_variant	0	0.8218	9E-31	30.045757490560675	(conditional-joint)	0.0218	[0.018-0.026] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
66	rs142920272	17	43564222	rs144733372	2018-07-10	29559929	Amare AT	2018-03-06	Front Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29559929	Association of the Polygenic Scores for Personality Traits and Response to Selective Serotonin Reuptake Inhibitors in Patients with Major Depressive Disorder.	Remission after SSRI treatment in MDD or neuroticism	865 individuals with SSRI response data, 170,911 individuals with personality trait data	NA	17q21.31	PLEKHM1	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs144733372-G	rs144733372	1	9899111	intron_variant	0	NR	3E-11	10.522878745280337				NR [NR] (imputed)	N
66	rs142920272	17	43564222	rs144733372	2018-12-03	28196072	Hagenaars SP	2017-02-14	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/28196072	Genetic prediction of male pattern baldness.	Male-pattern baldness	52,874 British ancestry males		17q21.31	ACBD4, ARHGAP27, FMNL1, HEXIM1, HEXIM2, MAP3K14, PLCD3, PLEKHM1, SPATA32	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs144733372-G	rs144733372	1	9899111	intron_variant	0	NR	2E-22	21.69897000433602		0.076714	NR unit decrease	NR [NR] (imputed)	N
66	rs142920272	17	43567337	rs1879586	2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	2E-13	12.698970004336019		1.1339011	[1.09660984313914-1.1724605092959]	Illumina [11595112] (imputed)	N
66	rs142920272	17	43567337	rs1879586	2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Ovarian cancer in BRCA1 mutation carriers	2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls	NA	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	7E-6	5.154901959985743		1.1804551	[1.0983093028467-1.26874471717965]	Illumina [11595112] (imputed)	N
66	rs142920272	17	43567337	rs1879586	2017-08-04	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Epithelial ovarian cancer	16,924 European ancestry cases, 68,502 European ancestry controls	NA	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	2E-19	18.69897000433602		1.1611373	[1.12396655984348-1.19953742102822]	Illumina [11595112] (imputed)	N
66	rs142920272	17	43567337	rs1879586	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	High-grade serous ovarian cancer	13,037 European ancestry cases, 40,941 European ancestry controls	NA	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	3E-13	12.522878745280337		1.1585579	[1.11378456264581-1.20513099189349]	Illumina [11595112] (imputed)	N
66	rs142920272	17	43567337	rs1879586	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Serous invasive ovarian cancer	14,049 European ancestry cases, 40,941 European ancestry controls	NA	17q21.31	NR	PLEKHM1, PLEKHM1, PLEKHM1			ENSG00000276358, ENSG00000225190, ENSG00000277111			rs1879586-G	rs1879586	0	1879586	intron_variant	0	0.181254	3E-12	11.522878745280337		1.1472089	[1.10406141518038-1.19204274035159]	Illumina [11595112] (imputed)	N
66	rs142920272	17	43569245	rs113322852	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	17q21.31	NR	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		1130	14862	rs113322852-A	rs113322852	0	113322852	intergenic_variant	1	0.190284825959502	3E-19	18.522878745280337		0.021021854	[0.016-0.026] unit increase	NR [NR]	N
66	rs142920272	17	43569909	rs146746174	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Cognitive performance	257,841 European ancestry individuals	NA	17q21.31	Intergenic	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		1794	14198	rs146746174-T	rs146746174	1	62065449	intergenic_variant	1	0.815	1E-12	12.0		0.0263	[0.019-0.034] unit increase	Affymetrix, Illumina [10100000] (imputed)	N
66	rs142920272	17	43569909	rs146746174	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Cognitive performance (MTAG)	402,382 European ancestry individuals	NA	17q21.31	Intergenic	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		1794	14198	rs146746174-T	rs146746174	1	62065449	intergenic_variant	1	0.815	1E-23	23.0	(MTAG)	0.0297	[0.024-0.036] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
66	rs142920272	17	43569909	rs146746174	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability (MTAG)	670,471 European ancestry individuals	NA	17q21.31	Intergenic	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		1794	14198	rs146746174-T	rs146746174	1	62065449	intergenic_variant	1	0.8153	3E-15	14.522878745280337	(MTAG)	0.0182	[0.014-0.023] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
66	rs142920272	17	43573419	rs62065453	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	17q21.31	intergenic	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		5304	10688	rs62065453-T	rs62065453	0	62065453	intergenic_variant	1	0.21717	2E-24	23.69897000433602		10.227	z score increase	Illumina [18485882] (imputed)	N
66	rs142920272	17	43573419	rs62065453	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling nervous	373,121 European ancestry individuals	NA	17q21.31	NR	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		5304	10688	rs62065453-T	rs62065453	0	62065453	intergenic_variant	1	0.217174	6E-15	14.221848749616356		7.81	z score increase	NR [10847151] (imputed)	N
66	rs142920272	17	43573419	rs62065453	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Irritable mood	366,726 European ancestry individuals	NA	17q21.31	NR	PLEKHM1 - LRRC37A4P	ENSG00000277111	ENSG00000282331		5304	10688	rs62065453-T	rs62065453	0	62065453	intergenic_variant	1	0.217174	3E-12	11.522878745280337		6.99	z score increase	NR [~ 10847151] (imputed)	N
66	rs142920272	17	43654468	rs62064364	2019-01-28	30535121	Gao XR	2018-12-07	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/30535121	Genome-wide association analyses identify 139 loci associated with macular thickness in the UK Biobank cohort.	Macular thickness	59,814 European ancestry individuals	8,609 European ancestry individuals	17q21.31	LRRC37A4P, MAPK8IP1P2	AC091132.4 - DND1P1	ENSG00000267198	ENSG00000282614		13872	8769	rs62064364-?	rs62064364	0	62064364	intron_variant	1	NR	4E-35	34.39794000867204		0.978	[0.81-1.14] unit decrease	Affymetrix [11100000] (imputed)	N
66	rs142920272	17	43659975	rs2668680	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week) (MTAG)	up to 1,039,210 European ancestry individuals	NA	17q21.31	NR	AC091132.4 - DND1P1	ENSG00000267198	ENSG00000282614		19379	3262	rs2668680-C	rs2668680	0	2668680	intron_variant	1	0.177	4E-19	18.397940008672037		0.0174888	[0.014-0.021] unit decrease	NR [~ 9732723] (imputed)	N
66	rs142920272	17	43666492	rs112010353	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Self-reported math ability	564,698 European ancestry individuals	NA	17q21.31	Intergenic	AC126544.2 - AC126544.1	ENSG00000285668	ENSG00000280022		747	3495	rs112010353-C	rs112010353	0	112010353	intergenic_variant	1	0.8237	2E-8	7.698970004336019		0.0143	[0.0092-0.0194] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
66	rs142920272	17	43682323	rs186806998	2018-11-01	30061609	Wyss AB	2018-07-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30061609	Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function.	Lung function (FEV1)	60,552 European ancestry individuals, 8,429 African individuals, 9,959 Korean ancestry individuals, 11,775 Hispanic individuals		17q21.31	CRHR1	MAPK8IP1P2 - RPS26P8	ENSG00000263503	ENSG00000282238		2617	3614	rs186806998-T	rs186806998	1	56383763	intergenic_variant	1	0.79	1E-9	9.0	(EA)	36.39	[24.71-48.07] unit increase	Affymetrix, Illumina [10900000] (imputed)	N
66	rs142920272	17	43682323	rs186806998	2018-11-01	30061609	Wyss AB	2018-07-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30061609	Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function.	Lung function (FEV1)	60,552 European ancestry individuals, 8,429 African individuals, 9,959 Korean ancestry individuals, 11,775 Hispanic individuals		17q21.31	LOC644172, CRHR1	MAPK8IP1P2 - RPS26P8	ENSG00000263503	ENSG00000282238		2617	3614	rs186806998-T	rs186806998	1	56383763	intergenic_variant	1	0.82	3E-10	9.522878745280337		29.5	[20.29-38.71] ml increase	Affymetrix, Illumina [10900000] (imputed)	N
66	rs142920272	17	43682323	rs186806998	2018-11-01	30061609	Wyss AB	2018-07-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30061609	Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function.	Lung function (FVC)	60,552 European ancestry individuals, 8,429 African individuals, 9,959 Korean ancestry individuals, 11,775 Hispanic individuals		17q21.31		MAPK8IP1P2 - RPS26P8	ENSG00000263503	ENSG00000282238		2617	3614	rs186806998-?	rs186806998	1	56383763	intergenic_variant	1	NR	1E-8	8.0		30.52	[20.01-41.03] unit increase	Affymetrix, Illumina [10900000] (imputed)	N
66	rs142920272	17	43685698	rs143246821	2018-11-01	30061609	Wyss AB	2018-07-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30061609	Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function.	Lung function (FEV1)	60,552 European ancestry individuals, 8,429 African individuals, 9,959 Korean ancestry individuals, 11,775 Hispanic individuals		17q21.31	LOC644172, CRHR1	MAPK8IP1P2 - RPS26P8	ENSG00000263503	ENSG00000282238		5992	239	rs143246821-A	rs143246821	1	444967	intergenic_variant	1	0.79	9E-10	9.045757490560675	(EA)	30.58	[20.8-40.36] ml increase	Affymetrix, Illumina [10900000] (imputed)	N
66	rs142920272	17	43685698	rs143246821	2018-11-01	30061609	Wyss AB	2018-07-30	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30061609	Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function.	Lung function (FVC)	60,552 European ancestry individuals, 8,429 African individuals, 9,959 Korean ancestry individuals, 11,775 Hispanic individuals		17q21.31		MAPK8IP1P2 - RPS26P8	ENSG00000263503	ENSG00000282238		5992	239	rs143246821-?	rs143246821	1	444967	intergenic_variant	1	NR	7E-8	7.154901959985743	(EA)	30.54	[19.45-41.63] unit increase	Affymetrix, Illumina [10900000] (imputed)	N
66	rs142920272	17	43688317	rs28768976	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	17q21.31	intergenic	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		2033	9377	rs28768976-A	rs28768976	0	28768976	intergenic_variant	1	0.77211	1E-25	25.0		10.453	z score decrease	Illumina [18485882] (imputed)	N
66	rs142920272	17	43696159	rs675600	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte count	169,822 European ancestry individuals	NA	17q21.31	CRHR1-IT1, CRHR1, RP11-105N13.4	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		9875	1535	rs675600-T	rs675600	0	675600	intergenic_variant	1	0.2046	5E-9	8.301029995663981		0.02673918	[0.018-0.036] unit increase	Affymetrix [~ 2500000] (imputed)	N
66	rs142920272	17	43696159	rs675600	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Myeloid white cell count	169,219 European ancestry individuals	NA	17q21.31	CRHR1-IT1, CRHR1, RP11-105N13.4	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		9875	1535	rs675600-T	rs675600	0	675600	intergenic_variant	1	0.2046	3E-9	8.522878745280337		0.02733148	[0.018-0.036] unit increase	Affymetrix [~ 2500000] (imputed)	N
66	rs142920272	17	43696159	rs675600	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Neutrophil count	170,702 European ancestry individuals	NA	17q21.31	CRHR1-IT1, CRHR1, RP11-105N13.4	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		9875	1535	rs675600-T	rs675600	0	675600	intergenic_variant	1	0.2045	3E-11	10.522878745280337		0.03035789	[0.021-0.039] unit increase	Affymetrix [~ 2500000] (imputed)	N
66	rs142920272	17	43696159	rs675600	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum basophil neutrophil counts	170,143 European ancestry individuals	NA	17q21.31	CRHR1-IT1, CRHR1, RP11-105N13.4	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		9875	1535	rs675600-T	rs675600	0	675600	intergenic_variant	1	0.2046	2E-11	10.698970004336019		0.03056096	[0.022-0.04] unit increase	Affymetrix [~ 2500000] (imputed)	N
66	rs142920272	17	43696159	rs675600	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum neutrophil eosinophil counts	170,384 European ancestry individuals	NA	17q21.31	CRHR1-IT1, CRHR1, RP11-105N13.4	RPS26P8 - LINC02210	ENSG00000282238	ENSG00000204650		9875	1535	rs675600-T	rs675600	0	675600	intergenic_variant	1	0.2045	6E-9	8.221848749616356		0.02652443	[0.018-0.035] unit increase	Affymetrix [~ 2500000] (imputed)	N
66	rs142920272	17	43705601	rs365825	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	17q21.31	CRHR1, LRRC37A3	LINC02210, LINC02210-CRHR1, LINC02210-CRHR1			ENSG00000204650, ENSG00000263715, ENSG00000282456			rs365825-?	rs365825	0	365825	intron_variant	0	NR	4E-32	31.397940008672037		1.2722646	[1.22-1.33]	Illumina [12438219] (imputed)	N
66	rs142920272	17	43714850	rs2942168	2015-04-20	21292315	Nalls MA	2011-02-01	Lancet	www.ncbi.nlm.nih.gov/pubmed/21292315	Imputation of sequence variants for identification of genetic risks for Parkinson's disease: a meta-analysis of genome-wide association studies.	Parkinson's disease	5,333 European ancestry cases, 12,019 European ancestry controls	7,053 cases, 9,007 controls	17q21.31	MAPT	LINC02210-CRHR1, LINC02210-CRHR1, LINC02210			ENSG00000263715, ENSG00000282456, ENSG00000204650			rs2942168-G	rs2942168	0	2942168	non_coding_transcript_exon_variant	0	0.78	1E-28	28.0		1.27	[1.23-1.31]	Illumina [7689524] (imputed)	N
